id,name,year,price,distance,fuel,volume,gearbox,img_url
C8528, Chevrolet Orlando,2011,10 500 USD,149 000 км,Газ/Бензин,1.8 л,Автомат,https://autopark.ua/client2_photos/ad_C8528/1636387287.jpg
C8524, Nissan Juke,2014,16 000 USD,40 000 км,Газ/Бензин,1.6 л,Автомат,https://autopark.ua/client2_photos/ad_C8524/1636381986.jpg
C8522, FAW V5,2013,3 500 USD,187 000 км,Газ/Бензин,1.5 л,Механика,https://autopark.ua/client2_photos/ad_C8522/1636380861.jpeg
33757, Mercedes-Benz GL 350,2012,39 700 USD,174 000 км,Дизель,3.0 л,Автомат,https://autopark.ua/bds_photos/ad_33757/01636371079_file.jpg
C8506, Renault Logan,2018,7 900 USD,81 000 км,Газ/Бензин,1.0 л,Механика,https://autopark.ua/client2_photos/ad_C8506/1636370455.jpeg
33752, Audi A6,2013,19 700 USD,153 000 км,Бензин,2.8 л,Автомат,https://autopark.ua/bds_photos/ad_33752/01636368318_file.jpg
33751, Mazda CX-5,2018,26 490 USD,26 000 км,Бензин,2.0 л,Автомат,https://autopark.ua/bds_photos/ad_33751/01636367330_file.jpg
C8504, Volkswagen Crafter пасс.,2007,13 900 USD,345 000 км,Дизель,2.5 л,Механика,https://autopark.ua/client2_photos/ad_C8504/78B45BAF-9579-422B-A813-E3A5F3356AF8.jpeg
C8500, Citroen C3,2008,4 500 USD,220 000 км,Газ/Бензин,1.4 л,Механика,https://autopark.ua/client2_photos/ad_C8500/DSC02479.JPG
33741, Chevrolet Malibu,2012,10 790 USD,130 000 км,Газ/Бензин,2.4 л,Автомат,https://autopark.ua/bds_photos/ad_33741/01636360133_file.jpg
C8489, Chevrolet Aveo,2005,3 800 USD,194 000 км,Газ/Бензин,1.5 л,Механика,https://autopark.ua/client2_photos/ad_C8489/1636360568.jpg
C8488, Volkswagen Passat B6,2006,8 200 USD,176 000 км,Бензин,2.0 л,Механика,https://autopark.ua/client2_photos/ad_C8488/20210804_163208.jpg
C8482, Skoda Superb,2006,7 000 USD,164 000 км,Бензин,1.8 л,Механика,https://autopark.ua/client2_photos/ad_C8482/20210709_154450.jpg
C8479, Skoda Praktik,2010,5 000 USD,490 000 км,Бензин,1.2 л,Механика,https://autopark.ua/client2_photos/ad_C8479/1636322675.jpg
C8477, ВАЗ 1119,2007,3 500 USD,165 000 км,Бензин,1.6 л,Механика,https://autopark.ua/client2_photos/ad_C8477/1636318817.jpg
C8466, Honda Civic,1995,3 550 USD,470 000 км,Бензин,1.4 л,Механика,https://autopark.ua/client2_photos/ad_C8466/1636310845.jpeg
C8461, Ford Mondeo,2011,10 800 USD,180 000 км,Бензин,2.0 л,Автомат,https://autopark.ua/client2_photos/ad_C8461/1636307473.jpg
C8455, Mitsubishi Lancer,2006,5 400 USD,262 000 км,Бензин,15.9 л,Механика,https://autopark.ua/client2_photos/ad_C8455/7.jpg
